bank_name,borrower_code,date,period_start,percent,loan_amount,loan_purpose_title,loan_purpose_description,loan_type,Name,email,sex,gender,birth_date,is_citizen
Zboncak-Konopelski,OB0929QW,Kerluke-Gusikowski,,,,,,,Patrick Stainton - Skinn,john.doe@gmail.com,Male,Trans Man,12/31/1923,FALSE
Parisian-Hessel,TG1130BX,Kub and Sons,8/11/2001,2,101896,demand-driven,vestibulum quam,Business,Shanan Burnyeat,jane.smith@yahoo.com,Male,Androgyne,9/4/1999,TRUE
Keebler Group,RZ3238DU,Nitzsche and Sons,3/7/2004,6,132325,Multi-layered,eget,Personal,Lorena Cortes,mike.jones@hotmail.com,Female,Cis Woman,2/7/2004,FALSE
Parisian-Hessel,LC7890MZ,"Rowe, Jerde and Murray",11/18/2011,2,57017,policy,ut massa,Personal,Chris Haton,sarah.wilson@aol.com,Male,Transsexual Person,3/22/1918,FALSE
Kling LLC,LY6915DF,Kshlerin Inc,,,,,,,Timothea Bambridge,chris.brown@outlook.com,Female,Transsexual Person,10/22/1933,TRUE
Parisian-Hessel,QL8207ZB,Hansen LLC,,,,,,,Hart Duligall,emily.davis@icloud.com,Male,Trans,8/3/1974,FALSE
Kling LLC,EO9404JM,Zemlak Group,3/14/2009,4,101855,Object-based,ultrices erat tortor sollicitudin,Business,Anette Bartolomeo,alex.miller@protonmail.com,Female,Gender Nonconforming,11/18/1908,FALSE
Kling LLC,LK1451UM,Ortiz LLC,,,,,,,Garrick Haestier,laura.white@yandex.com,Male,Non-binary,4/10/1922,TRUE
Keebler Group,RQ1246UH,Keebler-Schoen,4/15/2024,6,55468,system engine,enim leo,Investment,Sammie Swan,kevin.johnson@mail.com,Male,Transgender Female,7/29/1990,FALSE
Ebert-Bogisich,NW0610UB,Ferry-Schaden,6/2/2016,7,134467,User-centric,enim lorem ipsum,Investment,Verge Boij,amanda.thomas@gmx.com,Male,Transgender Woman,8/3/2004,FALSE
Lynch Group,MF9770QF,Davis-Blanda,2/1/2006,9,144520,optimizing,eu mi nulla ac,Investment,Derwin McCann,ryan.wilson@zoho.com,Male,Transsexual Female,5/30/1932,FALSE
Zboncak-Konopelski,GB7335FS,"Dickens, Hills and Runte",,,,,,,Herman Maffei,natalie.baker@inbox.com,Male,Trans,1/10/1901,TRUE
Zboncak-Konopelski,NW7274VK,Kreiger Group,,,,,,,Donnajean Woolens,brandon.martin@fastmail.com,Female,Gender Fluid,1/16/1921,TRUE
Hyatt-Stracke,YY2514XC,"Maggio, Shanahan and Terry",5/10/2015,7,4965,maximized,accumsan,Business,Henderson Muddiman,kelly.roberts@tutanota.com,Male,Transsexual Male,1/11/1994,FALSE
Rath and Sons,PD5589IO,Botsford LLC,,,,,,,Sianna Grindell,justin.hall@lavabit.com,Female,Bigender,4/28/1913,TRUE
Ebert-Bogisich,NY2935JZ,"McDermott, Bergstrom and Orn",,,,,,,Toby Leivesley,olivia.clark@hushmail.com,Male,Cisgender Female,8/31/1968,TRUE
Hyatt-Stracke,OQ6872SX,Huel Group,,,,,,,Hynda Tulloch,daniel.lee@runbox.com,Female,Transsexual Woman,8/16/1967,TRUE
Hyatt-Stracke,WA7494RK,Wiegand Group,,,,,,,Zaneta Wilde,samantha.wright@countermail.com,Female,Pangender,8/15/1988,TRUE
Parisian-Hessel,SY6501OP,"Rice, Bergnaum and Marvin",,,,,,,Kris Parzizek,jacob.rodriguez@protonmail.ch,Male,Cisgender Man,9/27/1950,FALSE
Zboncak-Konopelski,ZG4146OR,"Harvey, Grant and Klein",3/4/2013,7,55975,Profound,elementum ligula vehicula,Personal,Flor Bredbury,hannah.morris@yopmail.com,Female,Transgender Male,3/1/1948,FALSE
Ebert-Bogisich,RD9642TR,Littel-Ondricka,,,,,,,Nichols Osmond,tyler.cook@tutanota.de,Male,Trans Man,1/30/1965,TRUE
Kling LLC,VV6874XB,"Larson, Wunsch and Crona",,,,,,,Olenka Blything,madison.hernandez@safe-mail.net,Female,Transmasculine,6/17/1921,TRUE
